x,y,road,event
1935252.4593598968,966974.3418713142,stop,run
1935252.504517876,966974.3399925674,straight,run
1935252.6719547585,966974.3330386508,straight,run
1935252.7867325875,966974.3282660268,straight,run
1935252.956745848,966974.3211947886,straight,run
1935253.0735745889,966974.3163589874,straight,run
1935253.2465684009,966974.3091639949,straight,run
1935253.367826152,966974.304150854,straight,run
1935253.5440445435,966974.296828219,straight,run
1935253.6620693563,966974.2918970856,stop,run
1935253.7121670388,966974.2898176146,straight,run
1935253.8922353475,966974.282357376,straight,run
1935254.0146202904,966974.2772347444,straight,run
1935254.197943199,966974.2696158754,straight,run
1935254.3224174257,966974.2644447084,straight,run
1935254.5088810383,966974.2566995334,straight,run
1935254.634720312,966974.2515066236,straight,run
1935254.824117991,966974.2435926658,straight,run
1935254.952746592,966974.2387214664,straight,run
1935255.1444282872,966974.2324492742,straight,run
1935255.2696982487,966974.2288672986,stop,run
1935255.3279947613,966974.2271911856,straight,run
1935255.521100876,966974.22175063,straight,run
1935255.6488398623,966974.2184954684,stop,run
1935255.7060800043,966974.2170650184,straight,run
1935255.899757152,966974.2125154664,straight,run
1935256.02987395,966974.2105649452,straight,run
1935256.223450028,966974.20829013,straight,run
1935256.3554227669,966974.2069660508,straight,run
1935256.54847766,966974.2054928392,straight,run
1935256.6756850227,966974.2047786212,stop,run
1935256.7329364875,966974.2045379472,straight,run
1935256.925068684,966974.2040405548,straight,run
1935257.0533494283,966974.2041483098,straight,run
1935257.2438562687,966974.2050498336,straight,run
1935257.3735827028,966974.2054091686,straight,run
1935257.5614108955,966974.2110216566,straight,run
1935257.6854727813,966974.215880168,stop,run
1935257.7385764413,966974.2181465022,straight,run
1935257.9227261527,966974.2265178736,straight,run
1935258.0458232327,966974.232581709,straight,run
1935258.2267393807,966974.242911569,straight,run
1935258.3457865296,966974.2504434566,stop,run
1935258.3916638007,966974.253496154,straight,run
1935258.568853612,966974.265975426,straight,run
1935258.6832890264,966974.274663934,stop,run
1935258.7370498416,966974.2789183226,straight,run
1935258.910441527,966974.29334982,straight,run
1935259.0244188504,966974.3034491672,stop,run
1935259.075853156,966974.3081830328,straight,run
1935259.2454607475,966974.3244902544,straight,run
1935259.359455957,966974.3361911844,straight,run
1935259.5262159936,966974.3542676752,straight,run
1935259.6376722823,966974.367000678,straight,run
1935259.8024259128,966974.3864974148,straight,run
1935259.909444014,966974.3997892968,stop,run
1935259.955480137,966974.4056312894,straight,run
1935260.118603856,966974.4271982752,straight,run
1935260.2246888736,966974.441771258,stop,run
1935260.272493548,966974.4485004352,straight,run
1935260.43454876,966974.471945656,straight,run
1935260.544395298,966974.488014823,straight,run
1935260.7060668336,966974.5122747164,straight,run
1935260.8147321253,966974.5293695868,straight,run
1935260.976109024,966974.5557242276,straight,run
1935261.084878606,966974.5740989326,straight,run
1935261.2463210907,966974.602176441,straight,run
1935261.35604932,966974.6218326222,straight,run
1935261.517770915,966974.6516295996,straight,run
1935261.6260581275,966974.6722851126,straight,run
1935261.7882450137,966974.7039969214,straight,run
1935261.896832853,966974.7258070882,straight,run
1935262.059587425,966974.759157485,straight,run
1935262.169069503,966974.7820365784,straight,run
1935262.3320072005,966974.8173062996,straight,run
1935262.4433719432,966974.8424895528,straight,run
1935262.6057322656,966974.880300944,straight,run
1935262.715179772,966974.9062775325,straight,run
1935262.8764170927,966974.9454188156,straight,run
1935262.984092019,966974.9721711758,straight,run
1935263.1435197464,966975.0126380326,straight,run
1935263.2480580064,966975.0402489136,straight,run
1935263.4485068065,966975.0944791716,stop,run
1935263.5027258904,966975.113615989,stop,run
1935263.5488775312,966975.1310200954,straight,run
1935263.6946893355,966975.1892023236,stop,run
1935263.7920092328,966975.2291176282,straight,run
1935263.9341187405,966975.2885640404,stop,run
1935264.0290043028,966975.3293724495,straight,run
1935264.167471356,966975.3909669362,stop,run
1935264.2618970864,966975.43451347,straight,run
1935264.3962104155,966975.4987218528,stop,run
1935264.4852215888,966975.5428275628,straight,run
1935264.6154948445,966975.6096022588,stop,run
1935264.701792821,966975.6552920304,straight,run
1935264.831445542,966975.7190254374,stop,run
1935264.918883063,966975.7581980564,straight,run
1935265.0490374696,966975.816553404,stop,run
1935265.13655616,966975.8569909644,straight,run
1935265.2639977613,966975.9174338108,stop,run
1935265.3484898084,966975.9584535392,straight,run
1935265.47422047,966976.0201898756,stop,run
1935265.5577232288,966976.0618355965,straight,run
1935265.682525759,966976.1246851388,stop,run
1935265.7667128183,966976.166670845,straight,run
1935265.889550332,966976.2330605392,stop,run
1935265.9707794453,966976.2789836084,straight,run
1935266.0923658751,966976.348719011,stop,run
1935266.1741144897,966976.3961288804,straight,run
1935266.2960527923,966976.4678419434,stop,run
1935266.3790791845,966976.5174130502,straight,run
1935266.5014056023,966976.5919422664,stop,run
1935266.583740175,966976.6430957476,straight,run
1935266.7066937853,966976.7206051232,stop,run
1935266.7888720569,966976.7734392412,straight,run
1935266.912548744,966976.8542018572,stop,run
1935266.9958384803,966976.909291398,straight,run
1935267.119464286,966976.9935636746,stop,run
1935267.199262685,966977.0516684656,stop,run
1935267.2375427475,966977.0805940932,straight,run
1935267.3567109744,966977.1737857808,stop,run
1935267.437609348,966977.2386924252,straight,run
1935267.5555070187,966977.3354437138,stop,run
1935267.635351168,966977.4021673432,straight,run
1935267.7519926496,966977.501944048,stop,run
1935267.826041417,966977.5668682624,stop,run
1935267.8639323304,966977.6005751766,curve,run
1935267.978033837,966977.7041910528,stop,run
1935268.0562204567,966977.7769976696,curve,run
1935268.167648556,966977.883737812,stop,run
1935268.2420477227,966977.9567725726,curve,run
1935268.3507712767,966978.0661187832,stop,run
1935268.4227800623,966978.1404120874,curve,run
1935268.5285616908,966978.2523071234,stop,run
1935268.5966655689,966978.3261591812,stop,run
1935268.6287623816,966978.3614992312,curve,run
1935268.730934884,966978.4761978122,stop,run
1935268.7988017525,966978.554325292,curve,run
1935268.897837791,966978.6713317044,stop,run
1935268.9631340164,966978.7504154822,curve,run
1935269.0588877348,966978.8696710214,stop,run
1935269.124198604,966978.9530262108,curve,run
1935269.2167728688,966979.0742851456,stop,run
1935269.2770426949,966979.1553102036,stop,run
1935269.3038733893,966979.1919088388,curve,run
1935269.3926327191,966979.3155016664,stop,run
1935269.4522842304,966979.4008082153,curve,run
1935269.5377406373,966979.526314872,stop,run
1935269.59481097,966979.6123948196,curve,run
1935269.676843164,966979.7398630012,stop,run
1935269.7311299087,966979.8264602206,curve,run
1935269.80997852,966979.9556725122,stop,run
1935269.8610922133,966980.0418015752,stop,run
1935269.88408452,966980.0811768929,curve,run
1935269.9590171245,966980.2126026436,stop,run
1935270.0097889395,966980.3045648932,curve,run
1935270.0815533567,966980.4382226968,stop,run
1935270.1302502449,966980.5249089536,curve,run
1935270.23484752,966980.697495467,stop,run
1935270.26612236,966980.74923342,stop,run
1935270.286794881,966980.78376381,stop,run
1935270.3121129388,966980.8264431206,curve,run
1935270.3890518104,966980.9583556112,stop,run
1935270.4402260936,966981.0478094888,curve,run
1935270.5155691465,966981.1810594044,stop,run
1935270.5669477915,966981.2732865938,curve,run
1935270.6411747327,966981.4078205264,stop,run
1935270.690817996,966981.4993278212,curve,run
1935270.763884049,966981.6352075074,stop,run
1935270.809523753,966981.7263056408,stop,run
1935270.8297068807,966981.767464874,curve,run
1935270.897198293,966981.90726258,stop,run
1935270.9430445568,966982.0036664684,curve,run
1935271.009305859,966982.1452534487,stop,run
1935271.0530589065,966982.24050072,curve,run
1935271.117721528,966982.38420322,stop,run
1935271.1609726269,966982.482418128,curve,run
1935271.2238240133,966982.628300557,stop,run
1935271.264286415,966982.72431727,stop,run
1935271.2826647705,966982.7685411724,curve,run
1935271.343322064,966982.916991025,stop,run
1935271.382586467,966983.015376226,stop,run
1935271.4007032143,966983.0613739756,curve,run
1935271.4590684955,966983.2124690888,curve,run
1935271.498087096,966983.316014694,curve,run
1935271.554413088,966983.469339138,curve,run
1935271.5919659964,966983.5742506034,curve,run
1935271.6461914475,966983.7297900964,curve,run
1935271.6820881104,966983.8355975292,curve,run
1935271.7341288915,966983.993338154,curve,run
1935271.768685183,966984.10119597,curve,run
1935271.8184566817,966984.2610933085,curve,run
1935271.851152526,966984.3699571328,curve,run
1935271.8984631223,966984.5319532136,curve,run
1935271.9302682464,966984.644279051,curve,run
1935271.9751786976,966984.8083576532,curve,run
1935272.0046477783,966984.9196070248,curve,run
1935272.0468823432,966985.085696253,curve,run
1935272.074724578,966985.1996870836,curve,run
1935272.1143809247,966985.3676938555,curve,run
1935272.1393343925,966985.4779930084,stop,run
1935272.151018907,966985.530576961,curve,run
1935272.188305865,966985.7006810168,curve,run
1935272.212954559,966985.8157906274,curve,run
1935272.248233552,966985.9876963474,curve,run
1935272.273049896,966986.1071054433,curve,run
1935272.308775866,966986.2802550256,curve,run
1935272.3311959067,966986.3924099834,stop,run
1935272.34212624,966986.4484080112,curve,run
1935272.37537411,966986.623534562,curve,run
1935272.3973672783,966986.7433700252,curve,run
1935272.4286035448,966986.9200694616,curve,run
1935272.449506112,966987.0427904008,curve,run
1935272.478684045,966987.2210024432,curve,run
1935272.4972592487,966987.3398396932,stop,run
1935272.505590862,966987.3945518534,curve,run
1935272.5320892616,966987.5745457484,curve,run
1935272.5488079449,966987.6931989868,stop,run
1935272.556325517,966987.7480461616,curve,run
1935272.58030234,966987.9296820896,curve,run
1935272.595854902,966988.053662947,curve,run
1935272.617596049,966988.2366922586,curve,run
1935272.63203422,966988.3644590678,curve,run
1935272.651714116,966988.5488179618,curve,run
1935272.664112528,966988.6725592004,curve,run
1935272.681486904,966988.8582363116,curve,run
1935272.6924649484,966988.9842733004,curve,run
1935272.7075023192,966989.171208106,curve,run
1935272.7167281257,966989.2959457427,stop,run
1935272.7206266527,966989.3515370792,curve,run
1935272.732886906,966989.5398738928,curve,run
1935272.741185241,966989.6820485138,curve,run
1935272.7506729143,966989.8663256612,curve,run
1935272.756294532,966989.9913037794,stop,run
1935272.7586515965,966990.0482926976,curve,run
1935272.765544124,966990.2391712052,curve,run
1935272.7694117448,966990.3704016628,curve,run
1935272.7735749504,966990.5623305328,curve,run
1935272.7777066512,966990.6905056072,stop,run
1935272.7801358951,966990.748195144,curve,run
1935272.789363544,966990.9410502362,curve,run
1935272.7954580567,966991.0717722868,curve,run
1935272.8060040905,966991.265506478,curve,run
1935272.813665788,966991.4002768836,curve,run
1935272.8244798523,966991.594556016,curve,run
1935272.8314759184,966991.7229753238,stop,run
1935272.8344750588,966991.7786114968,curve,run
1935272.844979331,966991.9745126852,curve,run
1935272.8520214627,966992.1063028094,curve,run
1935272.8625009093,966992.3020823472,curve,run
1935272.8696709983,966992.4361588156,curve,run
1935272.880267368,966992.6340112886,curve,run
1935272.886721961,966992.7662684494,curve,run
1935272.8992638465,966992.9646238908,curve,run
1935272.9095482547,966993.0988338228,curve,run
1935272.925593538,966993.2978047172,curve,run
1935272.9388878448,966993.432775268,curve,run
1935272.9528297423,966993.6285149106,curve,run
1935272.9631821048,966993.7636391146,curve,run
1935272.9778048345,966993.9647684904,curve,run
1935272.9870238048,966994.1015278688,curve,run
1935273.0005895377,966994.3047793938,curve,run
1935273.0098330823,966994.4416451724,curve,run
1935273.023737764,966994.6451048824,curve,run
1935273.0328441667,966994.7776706888,stop,run
1935273.037094928,966994.8395723456,curve,run
1935273.051138725,966995.0436248176,curve,run
1935273.0605596127,966995.1806098174,curve,run
1935273.0746580632,966995.38569882,curve,run
1935273.08436424,966995.526706827,curve,run
1935273.0985406984,966995.7328624964,curve,run
1935273.108199516,966995.8732915358,curve,run
1935273.127550549,966996.0820193044,curve,run
1935273.1341950824,966996.2276375898,curve,run
1935273.1463956493,966996.4376081898,curve,run
1935273.1544076896,966996.568513281,stop,run
1935273.158718673,966996.6380266618,curve,run
1935273.172000811,966996.8459815148,curve,run
1935273.180180511,966996.983581266,stop,run
1935273.181968476,966997.0484207672,curve,run
1935273.19555627,966997.2631138486,curve,run
1935273.203497063,966997.4058281252,curve,run
1935273.214314757,966997.6175751792,curve,run
1935273.2211436008,966997.7580035292,curve,run
1935273.231103,966997.9685437864,curve,run
1935273.237679856,966998.1118289988,curve,run
1935273.2470810623,966998.3237206632,curve,run
1935273.25331962,966998.469711555,curve,run
1935273.262087823,966998.683047356,curve,run
1935273.2678368608,966998.8289545086,curve,run
1935273.2758545545,966999.0421039376,curve,run
1935273.2810962948,966999.1882480102,curve,run
1935273.288349878,966999.4003569525,curve,run
1935273.2930719308,966999.5459600925,stop,run
1935273.2948666075,966999.6030800171,curve,run
1935273.2981458856,966999.8161371064,curve,run
1935273.304824096,966999.955728784,stop,run
1935273.3068912888,967000.0155904238,curve,run
1935273.3126302783,967000.231262857,curve,run
1935273.316133816,967000.3760310764,stop,run
1935273.317643507,967000.441119107,curve,run
1935273.3224141,967000.6587292046,curve,run
1935273.325381445,967000.8043145266,curve,run
1935273.329368384,967001.0177417428,curve,run
1935273.3318739936,967001.1645091216,stop,run
1935273.3328420671,967001.2243272472,curve,run
1935273.3360418533,967001.442450554,curve,run
1935273.337900013,967001.5854447882,stop,run
1935273.338577136,967001.6461523878,curve,run
1935273.341016172,967001.864882794,curve,run
1935273.3425109524,967002.008050632,stop,run
1935273.3430372528,967002.0688674258,curve,run
1935273.3445672449,967002.2879937084,curve,run
1935273.345296722,967002.4348351458,curve,run
1935273.3460237407,967002.652875796,curve,run
1935273.3462541704,967002.7980775504,stop,run
1935273.3462795475,967002.8604889336,curve,run
1935273.346100728,967003.0800848552,curve,run
1935273.3458956936,967003.2242866574,stop,run
1935273.345786688,967003.2907124772,curve,run
1935273.345875267,967003.5103346508,curve,run
1935273.347379913,967003.6546007564,stop,run
1935273.34833902,967003.7186449012,curve,run
1935273.3521114488,967003.9382389084,curve,run
1935273.354548896,967004.0826427157,stop,run
1935273.3556129208,967004.146090208,curve,run
1935273.3592948024,967004.3657466848,curve,run
1935273.3621461089,967004.512188186,stop,run
1935273.362938041,967004.5695681772,curve,run
1935273.3653564367,967004.7893973344,curve,run
1935273.3668496783,967004.935341769,stop,run
1935273.367524587,967004.999741326,curve,run
1935273.3699589656,967005.2196160004,curve,run
1935273.371589354,967005.3612408364,stop,run
1935273.37231812,967005.4232748746,curve,run
1935273.3748828685,967005.64319324,curve,run
1935273.3765738464,967005.788142892,stop,run
1935273.377261743,967005.8466534734,curve,run
1935273.379834844,967006.066617472,curve,run
1935273.381515622,967006.2109265388,stop,run
1935273.3822489013,967006.2737233012,curve,run
1935273.384815109,967006.4937331768,curve,run
1935273.386553029,967006.6425875856,curve,run
1935273.3890858048,967006.8600197532,curve,run
1935273.3907801835,967007.0051829343,stop,run
1935273.391422893,967007.0608566444,curve,run
1935273.39399818,967007.2809579097,curve,run
1935273.395658831,967007.4225670104,stop,run
1935273.3964766725,967007.4930666424,curve,run
1935273.3990450653,967007.7132137872,curve,run
1935273.400765831,967007.8605123708,curve,run
1935273.4032266848,967008.0710347714,curve,run
1935273.404956397,967008.220331734,stop,run
1935273.4056455616,967008.2798796976,curve,run
1935273.4082223105,967008.5000724776,curve,run
1935273.4099215448,967008.6455406984,stop,run
1935273.4106265025,967008.7060800404,curve,run
1935273.4132042208,967008.9263338303,curve,run
1935273.4149149293,967009.0734800168,curve,run
1935273.417463012,967009.291873062,curve,run
1935273.419166432,967009.4385616878,stop,run
1935273.419872939,967009.4987196082,curve,run
1935273.4224435168,967009.7190040232,curve,run
1935273.4241729365,967009.8673246142,curve,run
1935273.4267008016,967010.0834906232,curve,run
1935273.4284469767,967010.2328636028,stop,run
1935273.429087835,967010.2879423628,curve,run
1935273.431651279,967010.5082574053,curve,run
1935273.433317908,967010.6507207392,curve,run
1935273.4366762708,967010.9386600436,stop,run
1935273.4376303223,967011.020584159,stop,run
1935273.4383806093,967011.08444856,stop,run
1935273.4391227872,967011.1482825788,curve,run
1935273.4416926424,967011.3685212398,curve,run
1935273.4433968584,967011.5143021302,stop,run
1935273.444117386,967011.5762981584,curve,run
1935273.4466787623,967011.7964835597,curve,run
1935273.448401905,967011.942973548,stop,run
1935273.4491132004,967012.0043900018,curve,run
1935273.4516890985,967012.2245294044,curve,run
1935273.4534250973,967012.3737423602,curve,run
1935273.455920776,967012.5878874796,curve,run
1935273.457608109,967012.732608357,stop,run
1935273.458305628,967012.7922019534,curve,run
1935273.460871225,967013.0121737028,curve,run
1935273.4625305936,967013.1546600398,stop,run
1935273.4633011343,967013.221232038,curve,run
1935273.465870222,967013.440944382,curve,run
1935273.467554792,967013.5859704206,stop,run
1935273.4683206568,967013.6512915104,curve,run
1935273.470877631,967013.8707218176,curve,run
1935273.4726068028,967014.019027159,curve,run
1935273.4751559764,967014.2374888395,curve,run
1935273.4768686064,967014.3842764852,stop,run
1935273.477560077,967014.443969341,curve,run
1935273.4801320345,967014.662903594,curve,run
1935273.4818106915,967014.8061219056,stop,run
1935273.482555098,967014.868659142,curve,run
1935273.485121466,967015.0872425946,curve,run
1935273.4867833576,967015.2294085196,stop,run
1935273.487537997,967015.293066899,curve,run
1935273.4900903013,967015.5112462984,curve,run
1935273.4918070005,967015.6573321086,curve,run
1935273.4943621964,967015.8752139742,curve,run
1935273.4960394904,967016.0178678388,stop,run
1935273.496738858,967016.0780563856,curve,run
1935273.499288462,967016.2955874528,curve,run
1935273.5009332043,967016.4361975504,stop,run
1935273.501694546,967016.5007559196,curve,run
1935273.504238687,967016.717943819,curve,run
1935273.505929489,967016.8619247328,stop,run
1935273.5066200315,967016.9201225282,curve,run
1935273.5091544269,967017.1362197872,curve,run
1935273.510836796,967017.2787133872,curve,run
1935273.513260099,967017.488793973,curve,run
1935273.514931064,967017.6329658986,stop,run
1935273.515624085,967017.6922773344,curve,run
1935273.518162396,967017.9090991856,curve,run
1935273.5198544112,967018.0531563606,stop,run
